sample_type,total_count,study,principal_investigator,collection_date,date_count
Bacterial,1524,SPACEMAN,Chiotos,2023-03-08,5
Bacterial,1524,SPACEMAN,Chiotos,2023-03-13,6
Bacterial,1524,SPACEMAN,Chiotos,2023-03-14,1
Bacterial,1524,SPACEMAN,Chiotos,2023-03-15,9
Bacterial,1524,SPACEMAN,Chiotos,2023-03-20,4
Bacterial,1524,SPACEMAN,Chiotos,2023-03-21,3
Bacterial,1524,SPACEMAN,Chiotos,2023-03-22,7
Bacterial,1524,SPACEMAN,Chiotos,2023-03-27,4
Bacterial,1524,SPACEMAN,Chiotos,2023-03-28,2
Bacterial,1524,SPACEMAN,Chiotos,2023-03-29,8
Bacterial,1524,SPACEMAN,Chiotos,2023-04-03,6
Bacterial,1524,SPACEMAN,Chiotos,2023-04-04,2
Bacterial,1524,SPACEMAN,Chiotos,2023-04-05,7
Bacterial,1524,SPACEMAN,Chiotos,2023-04-10,6
Bacterial,1524,SPACEMAN,Chiotos,2023-04-11,2
Bacterial,1524,SPACEMAN,Chiotos,2023-04-12,7
Bacterial,1524,SPACEMAN,Chiotos,2023-04-17,6
Bacterial,1524,SPACEMAN,Chiotos,2023-04-19,8
Bacterial,1524,SPACEMAN,Chiotos,2023-04-24,4
Bacterial,1524,SPACEMAN,Chiotos,2023-04-25,1
Bacterial,1524,SPACEMAN,Chiotos,2023-04-26,8
Bacterial,1524,SPACEMAN,Chiotos,2023-05-01,2
Bacterial,1524,SPACEMAN,Chiotos,2023-05-02,4
Bacterial,1524,SPACEMAN,Chiotos,2023-05-03,8
Bacterial,1524,SPACEMAN,Chiotos,2023-05-08,2
Bacterial,1524,SPACEMAN,Chiotos,2023-05-09,4
Bacterial,1524,SPACEMAN,Chiotos,2023-05-10,5
Bacterial,1524,SPACEMAN,Chiotos,2023-05-15,2
Bacterial,1524,SPACEMAN,Chiotos,2023-05-17,5
Bacterial,1524,SPACEMAN,Chiotos,2023-05-22,6
Bacterial,1524,SPACEMAN,Chiotos,2023-05-24,8
Bacterial,1524,SPACEMAN,Chiotos,2023-05-30,2
Bacterial,1524,SPACEMAN,Chiotos,2023-05-31,6
Bacterial,1524,SPACEMAN,Chiotos,2023-06-05,2
Bacterial,1524,SPACEMAN,Chiotos,2023-06-06,4
Bacterial,1524,SPACEMAN,Chiotos,2023-06-07,5
Bacterial,1524,SPACEMAN,Chiotos,2023-06-13,2
Bacterial,1524,SPACEMAN,Chiotos,2023-06-14,4
Bacterial,1524,SPACEMAN,Chiotos,2023-06-19,4
Bacterial,1524,SPACEMAN,Chiotos,2023-06-21,4
Bacterial,1524,SPACEMAN,Chiotos,2023-06-26,4
Bacterial,1524,SPACEMAN,Chiotos,2023-06-28,5
Bacterial,1524,SPACEMAN,Chiotos,2023-07-03,2
Bacterial,1524,SPACEMAN,Chiotos,2023-07-05,6
Bacterial,1524,SPACEMAN,Chiotos,2023-07-10,4
Bacterial,1524,SPACEMAN,Chiotos,2023-07-11,2
Bacterial,1524,SPACEMAN,Chiotos,2023-07-12,6
Bacterial,1524,SPACEMAN,Chiotos,2023-07-17,6
